Name,Team,Position,Height,Weight,Hands,Arm,Span,40yd,10yd,Shuttle,Vertical,Broad,Three Cone,RECV,DROP,FUM,YAC/REC,Y/RR,aDoT,Drop %,CTC %,RTG,SOS,PFF,DYAR,DVOA,Catch %,RR,Yards,YPRR,AV,YAC,YPTOE,XFP/RR
Puka Nacua,BYU,WR,74,201,9.5,31.5,74.8,4.57,1.62,4.36,33,121,7.32,90.1,75.4,37.7,7.4,3.53,12.00,5.9,50,119.3,0.4,90.2,310,11.8,66,540,1486,2.75,14,6.18,1.7,0.54
Rashee Rice,SMU,WR,73,204,9.5,32.75,77.375,4.51,1.49,4.23,41,128,7.02,85.6,64.9,27.9,6.2,3.05,11.20,8.6,48.5,99.9,2.3,84.9,223,15.3,77.5,358,938,2.62,8,8.3,2.4,0.49
Dontayvion Wicks,VIR,WR,73,206,10,32.375,79.875,4.62,1.59,4.2,39,130,6.91,69.6,42.75,30,4.6,2.35,16.50,15.6,36.55,93.95,-0.3,77.8,194,27.7,67.2,252,581,2.31,6,5.69,1.9,0.42
Nathaniel Dell,HOU,WR,68,165,8.625,30.5,72.625,4.49,1.49,,,121,,85.3,71.1,56.4,5.1,2.62,11.30,8.1,63.6,132,0.7,83.4,185,18.9,62.7,296,709,2.40,6,3.19,0.4,0.48
Jayden Reed,MST,WR,71,187,9.125,30.5,73.125,4.45,1.57,4.29,33.5,121,,76.95,62.7,65.75,5.25,2.335,12.70,9.3,64.7,103.1,7.1,73.3,167,9.7,68.1,356,793,2.23,9,5.48,0.8,0.5
Demario Douglas,LIBRTY,WR,68,179,8.75,30.25,72.5,4.44,1.54,4.29,39.5,134,7.05,86.2,74.7,71.2,6.4,2.63,13.00,5.4,46.2,88.6,-6.9,74.4,-43,-19.7,62.8,312,561,1.80,4,6.98,-0.3,0.44
Zay Flowers,BOSCOL,WR,69,182,9.25,29.25,72.25,4.42,1.53,,35.5,127,,76.6,64.9,56,6.4,2.22,10.40,9.3,58.3,106.1,-0.7,76.3,117,1.1,71.3,504,858,1.70,9,5.03,0.4,0.38
Josh Downs,NCAR,WR,69,171,9.25,30.375,73.375,4.48,1.49,4.15,38.5,131,6.75,86.1,86.3,66.3,4,2.16,8.90,3.5,75,139.1,3.6,70.3,78,-2.1,69.4,439,771,1.76,7,5.49,0.9,0.38
Jake Bobo,UCLA,WR,76,206,10,32.25,78.25,4.85,1.65,4.4,36,117,7.09,83.7,73.2,76.9,4.9,2.13,12.30,6.9,55,126.5,2.6,73.5,40,9.1,76,130,196,1.51,2,4.74,1,0.37
Marvin Mims Jr.,OKL,WR,71,183,9,31.625,74.75,4.38,1.55,,39.5,129,6.9,75.7,68,71.7,8.5,2.71,16.30,7.1,50,122.4,8.9,63.1,82,19.7,66.7,236,377,1.60,5,7,2.7,0.28
